City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Salalah,OM,78.89,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
283,Santiago Del Estero,AR,71.8,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
286,Kismayo,SO,75.97,light rain,-0.3582,42.5454,Agan-Hotel
287,Silver City,US,77.63,broken clouds,32.7701,-108.2803,Copper Manor Motel
288,Belmonte,BR,75.7,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
291,Samarai,PG,80.28,broken clouds,-10.6167,150.6667,Nuli Sapi
293,San Pedro,PH,82.31,overcast clouds,14.35,121.0167,Villa Veronica Resort Private Pool
296,Gold Coast,AU,82.17,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
297,Manado,ID,75.97,heavy intensity rain,1.487,124.8455,Aryaduta Hotel
299,Yulara,AU,71.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
300,Axim,GH,75.67,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
301,Sabla,NG,71.82,moderate rain,12.7525,4.7077,
310,Le Vauclin,MQ,78.85,few clouds,14.5452,-60.8388,Hôtel Cap Macabou
311,Marawi,PH,74.64,overcast clouds,7.9986,124.2928,Derogongan Residence
313,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
314,Hasaki,JP,79.09,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
317,Aswan,EG,78.33,clear sky,24.0934,32.907,Nuba Nile
320,Kulhudhuffushi,MV,82.58,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
322,Omboue,GA,75.07,light rain,-1.5746,9.2618,Hotel Olako
324,Garissa,KE,72.55,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
328,Finschhafen,PG,83.66,overcast clouds,-6.6024,147.8681,Cossam Guest House
329,Jishou,CN,84.09,light rain,28.3167,109.7167,7 Days Inn
330,Dzilam Gonzalez,MX,77.09,overcast clouds,21.2833,-88.9333,posadas
331,Umm Lajj,SA,80.78,clear sky,25.0213,37.2685,Moon light Furnished Units
333,Cuautepec,MX,75.6,overcast clouds,16.7,-99.0,
335,Rawalpindi,PK,76.23,scattered clouds,33.6007,73.0679,Hotel Akbar International
342,Faanui,PF,76.93,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
343,Saint Paul,US,71.89,clear sky,44.9444,-93.0933,"InterContinental Saint Paul Riverfront, an IHG Hotel"
344,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
345,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
