City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Abong Mbang,CM,2021-09-12 02:08:13,3.9833,13.1833,66.52,99,100,2.51,light rain
83,Huilong,CN,2021-09-12 02:08:13,31.8111,121.655,82.04,82,100,18.75,overcast clouds
84,Sampit,ID,2021-09-12 02:07:48,-2.5333,112.95,75.65,93,100,2.35,overcast clouds
85,Yellowknife,CA,2021-09-12 02:08:14,62.456,-114.3525,50.52,76,90,14.97,light intensity shower rain
86,Naze,JP,2021-09-12 02:08:15,28.3667,129.4833,79.97,83,100,13.13,overcast clouds
87,Buraydah,SA,2021-09-12 02:04:08,26.326,43.975,75.4,23,8,3.04,clear sky
88,Uhlove,UA,2021-09-12 02:08:16,44.8215,33.6045,63.79,73,85,6.78,overcast clouds
89,Dingle,PH,2021-09-12 02:06:52,10.9995,122.6711,84.54,75,88,4.52,overcast clouds
90,Provideniya,RU,2021-09-12 02:08:16,64.3833,-173.3,45.0,65,52,6.76,broken clouds
91,Airai,TL,2021-09-12 02:03:20,-8.9266,125.4092,75.65,41,14,3.65,few clouds
92,Constitucion,CL,2021-09-12 02:08:17,-35.3333,-72.4167,51.55,89,98,13.56,overcast clouds
93,Bethel,US,2021-09-12 02:08:17,41.3712,-73.414,69.55,87,1,0.0,clear sky
94,Kodiak,US,2021-09-12 02:08:18,57.79,-152.4072,54.91,71,1,5.75,clear sky
95,Carman,CA,2021-09-12 02:03:36,49.4992,-98.0016,59.32,51,100,8.34,light rain
96,Albany,US,2021-09-12 02:08:19,42.6001,-73.9662,63.63,82,6,5.14,clear sky
97,Pisco,PE,2021-09-12 02:08:19,-13.7,-76.2167,60.03,91,51,4.59,broken clouds
98,Teguise,ES,2021-09-12 02:08:20,29.0605,-13.564,68.22,88,0,10.36,clear sky
99,Hovd,MN,2021-09-12 02:08:20,48.0056,91.6419,59.59,23,10,3.04,clear sky
100,Vao,NC,2021-09-12 02:08:21,-22.6667,167.4833,68.0,61,6,12.5,clear sky
101,Chapais,CA,2021-09-12 02:08:21,49.7834,-74.8492,58.78,96,89,8.93,overcast clouds
102,San Lorenzo,PY,2021-09-12 02:05:14,-25.3333,-57.5333,74.34,50,0,6.91,clear sky
103,Iracoubo,GF,2021-09-12 02:08:22,5.4802,-53.2011,78.53,83,35,10.8,scattered clouds
104,Baturaja,ID,2021-09-12 02:08:23,-4.1333,104.1667,81.7,72,100,2.17,overcast clouds
105,Coahuayana,MX,2021-09-12 02:05:18,18.7333,-103.6833,79.68,92,100,1.23,overcast clouds
106,Kaitangata,NZ,2021-09-12 02:08:23,-46.2817,169.8464,63.68,49,88,9.6,overcast clouds
107,Gwanda,ZW,2021-09-12 02:08:24,-20.9333,29.0,50.32,66,0,4.81,clear sky
108,Bluff,NZ,2021-09-12 02:08:24,-46.6,168.3333,54.81,84,100,28.07,light rain
109,Marzuq,YE,2021-09-12 02:08:25,14.4,46.4667,78.91,49,14,4.03,few clouds
110,Mar Del Plata,AR,2021-09-12 02:08:25,-38.0023,-57.5575,51.06,97,76,17.98,broken clouds
111,Banda Aceh,ID,2021-09-12 02:08:26,5.5577,95.3222,83.21,70,100,9.31,overcast clouds
112,Kununurra,AU,2021-09-12 02:08:26,-15.7667,128.7333,87.78,42,1,5.75,clear sky
113,Hami,CN,2021-09-12 02:06:44,42.8,93.45,73.6,22,79,7.2,broken clouds
114,Mugur-Aksy,RU,2021-09-12 02:08:27,50.35,90.5,47.93,39,100,6.29,overcast clouds
115,Libertador General San Martin,AR,2021-09-12 02:08:27,-23.8064,-64.7876,69.94,50,38,3.85,scattered clouds
116,Nanortalik,GL,2021-09-12 02:08:28,60.1432,-45.2371,39.94,75,100,17.63,light rain
117,Victoria,HK,2021-09-12 02:06:36,22.2855,114.1577,89.96,80,72,1.01,broken clouds
118,Lashio,MM,2021-09-12 02:08:28,22.9333,97.75,76.98,74,20,1.25,few clouds
119,Mareeba,AU,2021-09-12 02:08:29,-17.0,145.4333,76.48,76,99,5.77,overcast clouds
120,Kavaratti,IN,2021-09-12 02:08:30,10.5669,72.642,81.59,81,100,20.29,overcast clouds
121,Mount Gambier,AU,2021-09-12 02:08:30,-37.8333,140.7667,49.23,88,39,10.36,light rain
122,Atuona,PF,2021-09-12 02:08:31,-9.8,-139.0333,78.06,75,5,16.6,clear sky
123,Dikson,RU,2021-09-12 02:08:31,73.5069,80.5464,42.17,88,100,8.77,overcast clouds
124,Iquique,CL,2021-09-12 02:03:58,-20.2208,-70.1431,59.04,74,61,2.48,broken clouds
125,Changying,CN,2021-09-12 02:08:32,52.8733,123.3213,56.53,75,98,1.59,light rain
126,Barrow,US,2021-09-12 02:08:33,71.2906,-156.7887,44.62,76,20,4.61,few clouds
127,Prince Rupert,CA,2021-09-12 02:08:33,54.3161,-130.3201,57.29,82,90,9.22,light rain
128,Makakilo City,US,2021-09-12 02:08:34,21.3469,-158.0858,86.32,55,40,11.5,scattered clouds
129,Krasnooktyabrskiy,RU,2021-09-12 02:08:34,44.9328,38.3712,60.1,93,53,2.93,broken clouds
130,Ilulissat,GL,2021-09-12 02:08:35,69.2167,-51.1,24.82,50,1,4.61,clear sky
131,Cap-Aux-Meules,CA,2021-09-12 02:08:35,47.3821,-61.8597,61.03,73,62,14.88,broken clouds
132,Arraial Do Cabo,BR,2021-09-12 02:08:36,-22.9661,-42.0278,71.11,90,89,7.81,overcast clouds
133,Hithadhoo,MV,2021-09-12 02:08:36,-0.6,73.0833,82.4,71,23,10.51,few clouds
134,Aksu,CN,2021-09-12 02:08:37,41.1231,80.2644,73.72,30,89,4.99,overcast clouds
135,Vaini,TO,2021-09-12 02:08:38,-21.2,-175.2,73.56,94,90,10.36,moderate rain
136,Poum,NC,2021-09-12 02:06:11,-20.2333,164.0167,73.02,63,8,17.98,clear sky
137,Saint-Philippe,RE,2021-09-12 02:08:38,-21.3585,55.7679,67.59,84,42,16.82,light rain
138,Ribeira Grande,PT,2021-09-12 02:08:39,38.5167,-28.7,70.12,74,100,18.86,overcast clouds
139,Vanavara,RU,2021-09-12 02:08:39,60.34,102.2797,51.26,58,100,5.14,overcast clouds
140,Aketi,CD,2021-09-12 02:07:09,2.7388,23.7833,67.93,99,82,1.28,broken clouds
141,Monrovia,LR,2021-09-12 02:05:21,6.3005,-10.7969,77.0,88,100,11.79,light rain
142,East London,ZA,2021-09-12 02:08:40,-33.0153,27.9116,67.21,73,4,14.45,clear sky
