City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Norman Wells,CA,2021-09-11 02:18:12,65.282,-126.8329,59.04,55,75,14.97
118,Hithadhoo,MV,2021-09-11 02:18:13,-0.6,73.0833,82.65,70,100,2.13
119,Mangrol,IN,2021-09-11 02:18:14,21.1167,70.1167,80.64,86,100,7.61
120,Narasannapeta,IN,2021-09-11 02:18:14,18.4167,84.05,79.93,83,100,7.2
121,Clyde River,CA,2021-09-11 02:18:15,70.4692,-68.5914,32.11,75,92,2.48
122,Agirish,RU,2021-09-11 02:18:15,61.9247,63.0231,39.22,97,100,14.47
123,Sitka,US,2021-09-11 02:18:16,57.0531,-135.33,57.09,72,90,14.97
124,Grand Island,US,2021-09-11 02:18:16,40.925,-98.342,80.89,82,1,6.91
125,San Patricio,US,2021-09-11 02:18:17,28.017,-97.5169,86.09,55,0,14.29
126,Luderitz,NA,2021-09-11 02:18:18,-26.6481,15.1594,57.65,65,4,8.84
127,Pisco,PE,2021-09-11 02:14:44,-13.7,-76.2167,60.85,82,90,4.61
128,Tobermory,CA,2021-09-11 02:18:18,45.2501,-81.6665,63.32,67,100,11.9
129,Arraial Do Cabo,BR,2021-09-11 02:18:19,-22.9661,-42.0278,70.86,94,100,6.71
130,Seguela,CI,2021-09-11 02:18:19,7.9611,-6.6731,69.64,98,97,3.18
131,Fort Nelson,CA,2021-09-11 02:15:25,58.8053,-122.7002,62.19,55,75,5.75
132,La Ronge,CA,2021-09-11 02:18:20,55.1001,-105.2842,55.65,54,20,6.91
133,Pemba,MZ,2021-09-11 02:18:21,-12.974,40.5178,68.7,83,20,9.22
134,Okha,RU,2021-09-11 02:18:21,53.5739,142.9478,55.54,54,97,15.23
135,Torbay,CA,2021-09-11 02:18:22,47.6666,-52.7314,66.27,98,90,31.07
136,Thinadhoo,MV,2021-09-11 02:18:22,0.5333,72.9333,83.08,70,100,4.92
137,Banjar,ID,2021-09-11 02:18:23,-8.19,114.9675,82.26,61,77,1.28
138,Maarianhamina,AX,2021-09-11 02:18:24,60.0973,19.9348,55.26,100,90,3.44
139,Jalu,LY,2021-09-11 02:18:24,29.0331,21.5482,80.28,33,0,5.06
140,Anadyr,RU,2021-09-11 02:18:25,64.75,177.4833,41.5,75,40,11.18
141,Atar,MR,2021-09-11 02:18:25,20.5169,-13.0499,94.71,33,100,11.01
142,Kattivakkam,IN,2021-09-11 02:18:26,13.2167,80.3167,84.29,64,100,14.07
143,Ola,RU,2021-09-11 02:18:26,59.5833,151.2833,49.53,37,41,11.07
144,Cayenne,GF,2021-09-11 02:17:26,4.9333,-52.3333,81.09,83,0,1.99
145,Kachiry,KZ,2021-09-11 02:18:27,53.0675,76.1036,51.35,79,91,9.89
146,Sinnamary,GF,2021-09-11 02:18:27,5.3833,-52.95,79.27,86,89,10.33
147,Bambous Virieux,MU,2021-09-11 02:18:28,-20.3428,57.7575,70.05,83,40,9.22
148,Port Lincoln,AU,2021-09-11 02:18:29,-34.7333,135.8667,62.42,64,51,18.03
149,Lima,PE,2021-09-11 02:13:50,-12.0432,-77.0282,58.14,82,90,5.75
150,Saint-Francois,FR,2021-09-11 02:18:30,46.4154,3.9054,62.04,94,90,3.44
151,Ponta Do Sol,PT,2021-09-11 02:18:31,32.6667,-17.1,74.03,77,28,2.26
152,Tongchuan,CN,2021-09-11 02:18:31,35.0806,109.0897,77.9,62,0,5.57
153,Otjiwarongo,NA,2021-09-11 02:18:32,-20.4637,16.6477,67.06,31,5,18.16
154,Nishihara,JP,2021-09-11 02:18:32,26.1842,127.7558,88.88,80,75,16.11
155,Salamanca,ES,2021-09-11 02:18:33,40.8333,-6.0,52.99,75,92,2.73
156,Severo-Kurilsk,RU,2021-09-11 02:18:33,50.6789,156.125,49.5,58,62,18.7
157,Santarem,BR,2021-09-11 02:18:34,-2.4431,-54.7083,77.13,94,0,4.61
158,Leningradskiy,RU,2021-09-11 02:18:34,69.3833,178.4167,29.71,88,100,9.89
159,Fortuna,US,2021-09-11 02:18:35,40.5982,-124.1573,73.18,71,90,1.01
160,Khasan,RU,2021-09-11 02:18:35,42.4308,130.6434,71.53,63,75,6.04
161,Cabedelo,BR,2021-09-11 02:17:33,-6.9811,-34.8339,74.07,75,25,12.88
162,Guerrero Negro,MX,2021-09-11 02:18:35,27.9769,-114.0611,74.86,82,83,10.96
163,Solton,RU,2021-09-11 02:18:36,52.8429,86.4787,56.77,48,100,11.56
164,Piacabucu,BR,2021-09-11 02:17:55,-10.4056,-36.4344,74.53,74,35,8.21
165,Tazovskiy,RU,2021-09-11 02:18:37,67.4667,78.7,41.16,96,100,8.32
166,Port Macquarie,AU,2021-09-11 02:18:37,-31.4333,152.9167,78.76,41,0,10.74
167,Lompoc,US,2021-09-11 02:17:19,34.6391,-120.4579,73.11,86,90,6.91
168,Bari,IT,2021-09-11 02:18:38,41.1177,16.8512,68.88,74,0,1.99
169,Souillac,MU,2021-09-11 02:18:38,-20.5167,57.5167,70.18,83,40,9.22
170,Katobu,ID,2021-09-11 02:18:39,-4.9408,122.5276,79.45,89,100,6.96
171,Vanimo,PG,2021-09-11 02:18:40,-2.6741,141.3028,86.22,64,12,8.5
172,Muros,ES,2021-09-11 02:18:40,42.7762,-9.0603,64.24,96,13,5.86
173,Hambantota,LK,2021-09-11 02:18:41,6.1241,81.1185,81.28,77,99,17.52
174,Mount Gambier,AU,2021-09-11 02:18:41,-37.8333,140.7667,57.11,72,40,17.27
175,Zvishavane,ZW,2021-09-11 02:18:42,-20.3267,30.0665,52.21,69,0,3.38
176,Kutum,SD,2021-09-11 02:18:43,14.2,24.6667,75.52,69,68,10.02
177,Hofn,IS,2021-09-11 02:18:43,64.2539,-15.2082,51.57,69,100,8.7
178,Derzhavinsk,KZ,2021-09-11 02:18:44,51.1,66.3167,52.39,88,100,12.53
179,Dunedin,NZ,2021-09-11 02:18:45,-45.8742,170.5036,53.8,61,99,5.99
180,Vila Franca Do Campo,PT,2021-09-11 02:18:45,37.7167,-25.4333,70.21,85,49,8.25
181,Ahuimanu,US,2021-09-11 02:18:46,21.4447,-157.8378,85.71,62,75,12.66
182,Dossor,KZ,2021-09-11 02:18:46,47.5272,52.9811,61.66,40,0,13.51
183,Paramonga,PE,2021-09-11 02:18:47,-10.6667,-77.8333,62.11,88,63,5.88
184,Meybod,IR,2021-09-11 02:18:48,32.2501,54.0166,71.62,21,0,1.52
185,Kudahuvadhoo,MV,2021-09-11 02:18:48,2.6708,72.8944,83.1,69,96,7.7
186,Walsrode,DE,2021-09-11 02:18:49,52.8667,9.6,65.14,98,99,4.76
187,Flinders,AU,2021-09-11 02:18:49,-34.5833,150.8552,83.48,39,0,5.99
188,Muravlenko,RU,2021-09-11 02:18:50,63.7898,74.523,46.72,86,100,8.01
189,Puerto Ayora,EC,2021-09-11 02:18:51,-0.7393,-90.3518,69.55,90,12,5.01
190,Tiksi,RU,2021-09-11 02:18:51,71.6872,128.8694,53.01,63,55,10.11
191,Namibe,AO,2021-09-11 02:18:52,-15.1961,12.1522,66.13,74,52,5.86
192,Mount Isa,AU,2021-09-11 02:18:52,-20.7333,139.5,85.77,23,0,8.05
193,Zhangjiakou,CN,2021-09-11 02:18:53,40.81,114.8794,72.61,48,0,0.76
194,Atambua,ID,2021-09-11 02:18:53,-9.1061,124.8925,84.78,47,80,2.39
195,Kongolo,CD,2021-09-11 02:18:53,-5.3833,27.0,76.35,36,59,3.8
196,Kumluca,TR,2021-09-11 02:18:54,36.3703,30.2869,76.08,56,0,4.18
197,Banda Aceh,ID,2021-09-11 02:18:54,5.5577,95.3222,83.03,65,100,7.05
198,Mana,GF,2021-09-11 02:18:55,5.6592,-53.7767,78.98,89,70,9.91
199,Ansbach,DE,2021-09-11 02:18:55,49.3,10.5833,63.28,96,100,5.1
200,Hokitika,NZ,2021-09-11 02:18:56,-42.7167,170.9667,52.63,67,94,15.19
201,Tirumullaivasal,IN,2021-09-11 02:18:56,11.2333,79.8333,82.38,65,100,13.56
202,Bilma,NE,2021-09-11 02:18:57,18.6853,12.9164,90.73,22,17,3.56
203,Uribia,CO,2021-09-11 02:18:57,11.7139,-72.266,84.51,68,100,23.2
204,Los Zacatones,MX,2021-09-11 02:18:58,22.95,-102.05,69.35,29,8,16.35
205,Iquitos,PE,2021-09-11 02:14:46,-3.7481,-73.2472,75.24,88,0,2.3
206,Paramo,ES,2021-09-11 02:18:58,43.1007,-6.0423,56.14,84,24,4.25
207,Nsanje,MW,2021-09-11 02:18:59,-16.92,35.262,68.79,62,100,5.14
208,Laizhou,CN,2021-09-11 02:19:00,37.1717,119.9214,81.19,70,0,9.4
209,Hurghada,EG,2021-09-11 02:19:00,27.2574,33.8129,80.64,44,0,13.8
210,Sao Jose Da Coroa Grande,BR,2021-09-11 02:19:01,-8.8978,-35.1478,75.97,69,96,9.51
211,Cody,US,2021-09-11 02:18:31,44.5263,-109.0565,77.63,33,1,3.44
212,Sao Gabriel Da Cachoeira,BR,2021-09-11 02:19:02,-0.1303,-67.0892,72.59,99,100,1.92
213,Tommot,RU,2021-09-11 02:19:02,58.9564,126.2925,57.27,54,0,4.45
214,Mehamn,NO,2021-09-11 02:19:03,71.0357,27.8492,43.02,74,100,15.55
215,Kindu,CD,2021-09-11 02:19:03,-2.95,25.95,72.72,81,100,1.9
216,Ambilobe,MG,2021-09-11 02:19:04,-13.2,49.05,70.23,65,90,4.41
217,Dekar,BW,2021-09-11 02:19:05,-21.5333,21.9333,59.04,49,0,12.46
218,Mogadishu,SO,2021-09-11 02:19:05,2.0371,45.3438,77.09,82,87,19.26
219,Cocobeach,GA,2021-09-11 02:19:05,1.0002,9.5823,78.73,88,62,7.54
220,Kunming,CN,2021-09-11 02:19:06,25.0389,102.7183,67.93,68,0,8.95
221,Mokhsogollokh,RU,2021-09-11 02:19:07,61.4681,128.9203,58.12,32,7,3.62
222,Padang,ID,2021-09-11 02:19:07,-0.9492,100.3543,84.25,75,100,1.63
223,Concordia,AR,2021-09-11 02:16:45,-31.393,-58.0209,53.82,83,82,3.33
224,Svetlaya,RU,2021-09-11 02:19:08,46.5389,138.3297,66.97,83,77,4.65
225,Khatanga,RU,2021-09-11 02:19:09,71.9667,102.5,54.16,55,20,17.05
226,Takoradi,GH,2021-09-11 02:19:09,4.8845,-1.7554,75.7,90,100,7.18
227,Hobart,AU,2021-09-11 02:19:10,-42.8794,147.3294,66.25,55,40,7.0
228,Wanning,CN,2021-09-11 02:19:10,18.8003,110.3967,84.67,78,52,10.31
229,Floro,NO,2021-09-11 02:19:11,61.5996,5.0328,57.16,100,100,1.14
230,Phalodi,IN,2021-09-11 02:19:11,27.1333,72.3667,85.68,65,96,10.29
231,Thompson,CA,2021-09-11 02:19:12,55.7435,-97.8558,50.16,71,90,16.11
232,Aksu,CN,2021-09-11 02:19:13,41.1231,80.2644,73.78,29,98,1.34
233,Amapa,BR,2021-09-11 02:19:13,1.0,-52.0,75.34,79,31,4.99
234,Coquimbo,CL,2021-09-11 02:16:15,-29.9533,-71.3436,55.13,82,90,4.61
235,Palestine,PS,2021-09-11 02:19:14,31.9216,35.2033,67.42,88,25,13.94
236,Kemi,FI,2021-09-11 02:19:14,65.8596,24.8228,40.77,100,90,2.3
237,Sembe,CG,2021-09-11 02:19:15,1.6481,14.5806,71.02,98,100,1.19
238,Presidencia Roque Saenz Pena,AR,2021-09-11 02:19:15,-26.7852,-60.4388,57.52,58,0,5.99
239,Vao,NC,2021-09-11 02:19:16,-22.6667,167.4833,67.23,65,100,13.51
240,Ugoofaaru,MV,2021-09-11 02:19:17,5.6667,73.0,82.31,70,94,10.42
241,Voh,NC,2021-09-11 02:19:17,-20.9667,164.7,78.06,46,5,8.77
242,Airai,TL,2021-09-11 02:19:18,-8.9266,125.4092,75.69,42,99,3.49
243,Balakhninskiy,RU,2021-09-11 02:19:18,58.0106,114.2769,52.43,94,100,2.06
244,Pangnirtung,CA,2021-09-11 02:19:19,66.1451,-65.7125,36.1,70,100,4.23
245,Lac Du Bonnet,CA,2021-09-11 02:19:20,50.2536,-96.0612,60.42,90,80,8.95
246,Beringovskiy,RU,2021-09-11 02:19:20,63.05,179.3167,41.23,86,100,7.14
247,Eyl,SO,2021-09-11 02:19:21,7.9803,49.8164,78.62,59,100,22.48
